ID,NC_t1,DM_t1,NS_t1,ADD_t1,SUB_t1,CA_t1,NC_t2,DM_t2,NS_t2,ADD_t2,SUB_t2,CA_t2,RMAT,TIME
293,838.367346938776,2254.35,22,52,54,30,653.25,1645.63636363636,20,52,54,31,47,14
294,819,1920.45,21,50,47,31,-99,-99,-99,-99,-99,-99,-99,-99
295,836.078431372549,1316.92105263158,21,62,49,29,540.5,1424.76923076923,17,58,39,21,36,14
296,822.12,1555.05,13,38,33,19,-99,-99,-99,-99,-99,-99,-99,-99
297,970,2049.97058823529,16,51,43,30,776.941176470588,1691.4,17,58,49,26,33,14
298,1212.44897959184,2699.025,18,55,48,31,-99,-99,-99,-99,-99,-99,39,-99
299,929.882352941176,2242.15384615385,12,38,22,13,-99,-99,-99,-99,-99,-99,32,-99
300,917.959183673469,1772.4,14,32,25,14,819.276595744681,1610.92105263158,18,35,28,19,27,12
301,1066.5306122449,2760.39473684211,4,33,-99,-99,860.549019607843,1938.14634146341,12,24,27,-99,29,14
302,656.76,1239,22,57,44,33,566.5,1192.8,21,58,50,35,34,14
303,581,1130.325,24,61,57,41,-99,-99,-99,-99,-99,-99,-99,-99
304,1079.76470588235,637.5,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,36,-99
305,793.52,1173,22,58,62,32,-99,-99,-99,-99,-99,-99,41,-99
306,889,2557.90243902439,21,45,43,27,-99,-99,-99,-99,-99,-99,-99,-99
308,750.285714285714,1572.66666666667,17,46,41,26,-99,-99,-99,-99,-99,-99,32,-99
309,642,1146.29268292683,22,62,54,37,763.686274509804,1341.9,23,63,59,34,36,41
310,612.56,1902.92307692308,17,27,29,5,569.877551020408,-99,-99,3,-99,-99,36,41
311,1020.89795918367,1824,17,38,24,15,-99,2714.44444444444,4,20,6,-99,29,14
312,776.68085106383,1667.53125,8,48,8,6,787.428571428571,1164.64864864865,7,43,30,11,27,14
313,614.791666666667,1841.92105263158,16,39,42,19,-99,-99,-99,-99,-99,-99,26,-99
