NC,DM,NS,ADD,SUB,CA,NP,SN,AF,BC,AS,PF,Label
1275.59183673469,2875.0,15,39,37,23,2075.295918367345,-1599.40816326531,28.5,15.0,2,0.013732981281253238,0
968.76,2536.0,18,49,53,31,1752.38,-1567.24,37.75,20.0,-4,0.02154213127289743,0
1120.65306122449,2451.89189189189,2,40,42,25,1786.27247655819,-1331.2388306673997,27.25,16.0,-2,0.015255231414921428,1
708.627450980392,1398.71052631579,17,48,53,31,1053.668988648091,-690.083075335398,37.25,19.5,-5,0.03535265856860187,0
894.4,2360.4,19,42,40,23,1627.4,-1466.0,31.0,18.0,2,0.01904878948015239,0
1461.2,1892.21052631579,4,57,49,27,1676.705263157895,-431.01052631579,34.25,26.0,8,0.020426965163509888,0
698.43137254902,1811.38461538462,23,48,49,37,1254.90799396682,-1112.9532428356001,39.25,11.5,-1,0.031277193378877924,0
1265.70212765957,2723.63636363636,4,27,23,15,1994.669245647965,-1457.93423597679,17.25,10.0,4,0.00864805031592913,1
898.56,2013.45454545455,18,36,38,19,1456.007272727275,-1114.89454545455,27.75,18.0,-2,0.019058970734411887,1
1045.09803921569,2849.82352941176,18,37,42,21,1947.460784313725,-1804.7254901960698,29.5,18.5,-5,0.015147930185611232,0
1080.27450980392,2822.0,9,21,14,11,1951.13725490196,-1741.72549019608,13.75,6.5,7,0.0070471720866664015,1
921.0,2691.6,13,29,26,12,1806.3,-1770.6,20.0,15.5,3,0.01107235785860599,0
908.0,1946.34146341463,20,30,26,19,1427.170731707315,-1038.34146341463,23.75,9.0,4,0.01664131660799127,0
928.5,3027.07317073171,14,33,26,14,1977.786585365855,-2098.57317073171,21.75,15.5,7,0.01099714203793967,0
821.6,2224.92307692308,14,36,24,12,1523.2615384615399,-1403.32307692308,21.5,18.0,12,0.014114450773643586,0
1253.5,2338.0,16,45,46,25,1795.75,-1084.5,33.0,20.5,-1,0.018376722817764167,0
1452.0,4074.0,14,18,17,16,2763.0,-2622.0,16.25,1.5,1,0.005881288454578357,0
1327.52941176471,2745.75,18,35,35,18,2036.639705882355,-1418.22058823529,26.5,17.0,0,0.01301162887253007,0
1343.8431372549,2648.0487804878,16,36,39,22,1995.9459588713498,-1304.2056432328998,28.25,15.5,-3,0.014153689820326882,0
1112.39215686275,1901.35135135135,11,28,26,14,1506.87175410705,-788.9591944886001,19.75,13.0,2,0.013106623006351034,0
658.297872340426,1703.21052631579,16,37,32,17,1180.754199328108,-1044.912653975364,25.5,17.5,5,0.02159636613150343,0
1229.58333333333,2728.34210526316,15,43,31,20,1978.9627192982452,-1498.7587719298301,27.25,17.0,12,0.013769839994592243,0
956.041666666667,1942.83870967742,9,43,38,12,1449.4401881720435,-986.797043010753,25.5,28.5,5,0.017592999151044127,0
1645.13725490196,2515.90243902439,8,17,27,13,2080.519846963175,-870.7651841224299,16.25,9.0,-10,0.007810547937679742,1
1084.86274509804,2306.5,15,33,30,17,1695.6813725490201,-1221.63725490196,23.75,14.5,3,0.014006169074263046,0
759.958333333333,2045.64705882353,15,37,24,22,1402.8026960784314,-1285.688725490197,24.5,8.5,13,0.017465036293764148,0
880.816326530612,3883.86486486487,11,36,17,12,2382.340595697741,-3003.048538334258,19.0,14.5,19,0.007975349970659957,1
731.058823529412,1907.41463414634,17,48,45,28,1319.236728837876,-1176.355810616928,34.5,18.5,3,0.026151485359561865,1
1638.72222222222,3754.8,6,26,22,19,2696.76111111111,-2116.0777777777803,18.25,5.0,4,0.0067673773271228685,1
1289.80392156863,2424.45,6,11,21,13,1857.1269607843149,-1134.64607843137,12.75,3.0,-10,0.006865443380680516,1
964.549019607843,2607.23076923077,9,26,28,14,1785.8898944193065,-1642.6817496229269,19.25,13.0,-2,0.01077893998961188,1
1363.375,2977.90243902439,6,18,11,4,2170.638719512195,-1614.5274390243899,9.75,10.5,7,0.004491765447817638,1
1287.0,2178.0,9,26,25,19,1732.5,-891.0,19.75,6.5,1,0.0113997113997114,1
1540.0,2409.36585365854,17,36,36,23,1974.68292682927,-869.3658536585399,28.0,13.0,0,0.01417949161334946,1
1377.5,3857.34146341463,7,23,19,10,2617.420731707315,-2479.84146341463,14.75,11.0,4,0.005635318701849945,0
1462.76,4116.0,4,33,28,24,2789.38,-2653.24,22.25,6.5,5,0.00797668299048534,1
1601.16666666667,4421.84615384615,4,19,18,10,3011.5064102564097,-2820.67948717948,12.75,8.5,1,0.004233761534286232,1
1469.0,3641.51351351351,3,18,19,21,2555.256756756755,-2172.51351351351,15.25,-2.5,-1,0.0059680891008995806,1
1240.5,2685.84615384615,8,33,41,21,1963.173076923075,-1445.3461538461502,25.75,16.0,-8,0.013116520546603333,1
1337.44,3586.45945945946,3,20,16,4,2461.9497297297303,-2249.01945945946,10.75,14.0,4,0.0043664579622347205,1
924.0,1800.225,19,34,41,29,1362.1125,-876.2249999999999,30.75,8.5,-7,0.022575227817085593,0
923.8823529411766,2727.30769230769,16,26,43,17,1825.5950226244333,-1803.4253393665135,25.5,17.5,-17,0.013968048600034956,1
1167.5,1950.0,11,32,16,6,1558.75,-782.5,16.25,18.0,16,0.010425020048115477,1
1275.59183673469,2150.16666666667,14,35,26,21,1712.87925170068,-874.57482993198,24.0,9.5,9,0.014011495542473837,1
1859.0,3624.46875,3,11,4,21,2741.734375,-1765.46875,9.75,-13.5,7,0.0035561431803545884,1
903.5,1984.5,5,6,5,21,1444.0,-1081.0,9.25,-15.5,1,0.006405817174515236,1
1664.0,4254.48648648649,8,7,35,21,2959.243243243245,-2590.4864864864903,17.75,0.0,-28,0.005998155116355529,0
595.4,1818.0,19,49,51,36,1206.7,-1222.6,38.75,14.0,-2,0.03211237258639264,0
1004.0,3110.0,19,48,48,35,2057.0,-2106.0,37.5,13.0,0,0.018230432668935342,0
655.0,1618.8,22,50,35,21,1136.9,-963.8,32.0,21.5,15,0.028146714750637698,0
810.588235294118,1622.775,20,43,43,27,1216.681617647059,-812.1867647058821,33.25,16.0,0,0.027328431298487263,0
1023.0,1813.875,18,39,42,26,1418.4375,-790.875,31.25,14.5,-3,0.022031284423881914,0
782.5,1663.60975609756,17,39,41,22,1223.05487804878,-881.10975609756,29.75,18.0,-2,0.024324337798694803,0
1118.5652173913,1984.5,15,39,6,21,1551.53260869565,-865.9347826087001,20.25,1.5,33,0.013051610959710263,0
1740.66666666667,1984.5,4,39,35,21,1862.5833333333348,-243.83333333333007,24.75,16.0,4,0.013287996062815971,1
774.901960784314,2218.46153846154,13,43,41,30,1496.6817496229269,-1443.559577677226,31.75,12.0,2,0.02121359467902851,0
624.0,1154.46153846154,20,49,35,21,889.23076923077,-530.4615384615399,31.25,21.0,14,0.03514273356401381,0
838.117647058824,2226.0,20,41,38,31,1532.058823529412,-1387.8823529411761,32.5,8.5,3,0.021213284699558455,0
